accreditation,city,clickUri,combined_program,degree_program,distance_learning,email,excerpt,institution,location,phone,state,title,uri,website,zip
,Logan,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1bd363d0-9def-474a-be28-c29b65978e4c&efp=268&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Logan, Utah",,['Utah'],Utah State University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1bd363d0-9def-474a-be28-c29b65978e4c&efp=268&site=ashacms&webcode=edfinddetail,,84322-1000
,Logan,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1bd363d0-9def-474a-be28-c29b65978e4c&efp=944&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Logan, Utah",,['Utah'],Utah State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1bd363d0-9def-474a-be28-c29b65978e4c&efp=944&site=ashacms&webcode=edfinddetail,,84322-1000
,Clarksville,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=007ebcec-70e9-4408-9655-628def92c145&efp=1130&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Clarksville, Tennessee",,['Tennessee'],Austin Peay State University : Other bachelor’s degree with a major in the field of communication sciences and disorders (Other),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=007ebcec-70e9-4408-9655-628def92c145&efp=1130&site=ashacms&webcode=edfinddetail,,37044
,San Marcos,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=17b65b94-bf62-4641-94c2-efd176222cae&efp=592&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"San Marcos, California",,['California'],"California State University, San Marcos : Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=17b65b94-bf62-4641-94c2-efd176222cae&efp=592&site=ashacms&webcode=edfinddetail,,92096
,Norfolk,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=dd19e0c6-3adc-495e-8686-aa33f3f79629&efp=250&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Norfolk, Virginia",,['Virginia'],Old Dominion University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=dd19e0c6-3adc-495e-8686-aa33f3f79629&efp=250&site=ashacms&webcode=edfinddetail,,23529-0136
,Lubbock,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=56e2e7cb-a89b-47fc-a819-9eb06746017b&efp=143&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Lubbock, Texas",,['Texas'],Texas Tech University Health Sciences Center: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=56e2e7cb-a89b-47fc-a819-9eb06746017b&efp=143&site=ashacms&webcode=edfinddetail,,79430
,Tyler,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=0a3ccc66-f58e-4eda-93c0-14bb8c4cd208&efp=975&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Tyler, Texas",,['Texas'],The University of Texas at Tyler: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=0a3ccc66-f58e-4eda-93c0-14bb8c4cd208&efp=975&site=ashacms&webcode=edfinddetail,,75799
,New York,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=4959023f-7789-48cc-a7ae-f02179a882aa&efp=24&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"New York, New York",,['New York'],Yeshiva University Katz School of SLP: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=4959023f-7789-48cc-a7ae-f02179a882aa&efp=24&site=ashacms&webcode=edfinddetail,,10016
,Provo,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=9cf91165-7985-4cea-9307-06a9deb09282&efp=301&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Provo, Utah",,['Utah'],Brigham Young University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=9cf91165-7985-4cea-9307-06a9deb09282&efp=301&site=ashacms&webcode=edfinddetail,,84602
,Oxford,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=21a9c4b9-3e2f-4d47-a228-3cf2ad19c112&efp=288&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Oxford, Ohio",,['Ohio'],Miami University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=21a9c4b9-3e2f-4d47-a228-3cf2ad19c112&efp=288&site=ashacms&webcode=edfinddetail,,45056
,Abilene,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=49daeac3-2d90-46b3-a305-cd9164b8817a&efp=357&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Abilene, Texas",,['Texas'],Abilene Christian University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=49daeac3-2d90-46b3-a305-cd9164b8817a&efp=357&site=ashacms&webcode=edfinddetail,,79699-8058
